slug,discount
browserbase,Volume discounts are available for the Scale Plan. Contact them to book a demo.
buildertrend,"Buildertrend offers an introductory discount of $300 off the first month for all plans (Essential, Advanced, and Complete). Contact the team for annual discounts."
blend-ai,Blend AI offers volume discounts based on ad spend. The Growth plan is $150/mo + 10% of ad spend up to $15k. The Scale plan is 7% of ad spend between $15k-$50k. The Accelerate plan is 2% of ad spend over $50k.
botpress,"Annual billing offers a discount compared to monthly billing. Volume discounts are available, as indicated by the 'Volume discounts' text in the 'Contact us' section, suggesting custom pricing for large-scale needs."
avoma,Avoma offers discounts for annual billing. They also offer a 14-day free trial for the Revenue Intelligence plan.
baremetrics,Annual billing offers a 20% discount compared to monthly billing. A 14-day free trial is also available.
couchbase,"Couchbase Capella offers a $1,000 credit for use on AWS, GCP, or Azure. Starter Kits save up to 60% on services, training, and credits."
cloudinary,"Cloudinary offers a 25% discount for annual billing, compared to paying monthly."
cloudflare.zero.trust.services,"Cloudflare offers a 'Free Plan' for teams under 50 users, suitable for proof-of-concept tests. There is also a 'Pay-as-you-go' plan at $7/user/month. A 'Contract Plan' with custom pricing is available, suggesting potential negotiation for volume or specific needs."
buildkite,"Volume discounts are available for Pipelines, Test Engine, and Package Registries. A 30-day free trial is offered. Heavy discounts are available for non-profit and charity organizations."
astronomer,"Annual agreements are available through AWS, Google Cloud, and Azure marketplaces."
cohere,"No discounts are explicitly mentioned on the pricing page. It only lists the costs per 1M tokens for different models like Command R+, Command R, Command R7B, Embed 3 and Rerank 3.5."
connecteam,Yearly save 18% by choosing annual billing.
cledara,A 16% discount is offered for yearly billing. There is also a 1% cashback offered for the first year.
checkr,"Checkr offers volume discounts on several background check services, where the price per check or test decreases based on volume. Examples include criminal and civil searches, verifications, motor vehicle records, drug tests, and DOT checks. The exact discount tiers and amounts vary by service."
casemark,Free 14 day trial. Volume discounts for Enterprise plans starting at 100 summaries per month.
chartmogul,Annual billing offers a 17% discount. A free trial is available for Subscription Analytics.
carta,"Carta offers a free ""Launch"" plan for new customers with up to 25 stakeholders and up to $1M raised. Add-on pricing is available for Total Compensation, Equity Advisory, Liquidity and QSBS Attestation."
chargeflow,Chargeflow offers success-based pricing where you only pay for disputes that are settled in your favor. The Success plan charges 25% per successful chargeback settled in your favor.
canva,Annual discount of 16% is offered. Non-profits and K-12 educational organizations can enjoy premium features for free.
chilipiper,"The pricing page states 'Our pricing is fixed and transparent (no discounts)'. However, the multi-product section shows discounts for combining products."
clarifai,Clarifai offers a free 'Community' plan. The Enterprise plan mentions 'Volume Discounts' for large accounts.
camunda,"Camunda offers a free 'Free' plan. The 'Professional' plan has a 'Free trial' option. The 'Enterprise' plan is available with an annual agreement, but the discount amount is not specified."
calendly,Calendly offers a 20% discount on the Teams plan when billed annually.
chargebee,"Chargebee offers discounts based on usage. The Starter plan is free up to $250k cumulative billing, then charges 0.75%. The Performance plan charges 0.75% on billing after $100k/mo. On-demand discounting is available on the Enterprise plan."
cleanlab,The pricing page offers a 2-week free trial for Cleanlab Studio and Cleanlab Studio Enterprise. There are no other discounts mentioned on the page.
comet,Comet offers a free plan for personal use. They also offer a 30-day free trial for the Starter plan. Academics can get free access to paid tiers.
clearbit,Clearbit offers a 'Free' plan with limited credits. The 'Growth' plan has tiered pricing based on the number of credits needed.
clickup,ClickUp offers a free forever plan. They also offer a discount when replacing multiple apps with ClickUp. The AI add-on is discounted to $7/user/month.
clevertap,The pricing page offers a free trial for the Essentials plan.
clicksend,Volume discounts are available for SMS based on the number of messages sent. The price per SMS decreases as the volume of messages increases. Inbound SMS are always free.
cloudflare,Cloudflare offers a free trial for SASE/SSE. Stream includes 100 free minutes of video storage with Pro and Business plans.
clio,Annual discount of 17% is offered on the Complete plan. There is also a limited time offer for 2 months of free Clio and 30 days of free payment processing.
coda,"Annual discount of 15% is offered. Volume discounts are available, and customers should contact sales for more information."
codecademy,"Annual billing offers a discount compared to monthly billing. Plus plan is $14.99/month billed annually vs $29.99 billed monthly. Pro plan is $19.99/month billed annually vs $39.99 billed monthly. Student, military, first responder, healthcare worker, and government assistance discounts may be available."
caspio,Caspio offers a 10% discount for annual billing. Extra discounts are available for nonprofits and qualifying countries.
composio,"Composio offers a free 'Hobby' plan. There is also a 'Startups Program' announced, but details are not provided on the pricing page."
constantcontact,"Constant Contact offers discounts for nonprofits and organizations seeking multiple accounts. They also offer prepayment discounts, where you can save up to 15% when you prepay for 12 months. Prepay and save up to 30%."
coschedule,CoSchedule offers a 20% discount for annual billing. They also have a referral program.
copper,Up to 25% discount on annual billing.
contentful,The pricing page offers a 'Free' plan. There are also pre-pay discounts for AI Actions.
coreweave,"The pricing page shows on-demand pricing for GPU and CPU instances, storage, networking, and managed Kubernetes. NAT Gateway, data transfer between CoreWeave and internet, data transfer within CoreWeave, and VPC are offered for free."
countingup,"A 3-month free trial is offered. Subscription fees vary based on monthly deposits: £3/month (0-£750), £9/month (£750-£7,500), and £18/month (£7,500+). Subscription Fees may decrease if business has a quieter month."
convertkit,Annual billing saves 2 months. Creator plan is $25/month or $290 annually (save $58). Creator Pro is $50/month or $590 annually (save $118). Both Creator plans offer a 14-day free trial.
bynder,"The pricing is custom, so discounts are not listed. The page mentions a free consultation and a demo with a product expert."
datadog.event-management,Multi-year and volume discounts are available. Billed annually pricing is discounted compared to on-demand pricing.
clay,Clay offers a 10% discount for annual billing on all plans. They also offer a 14-day Pro trial.
datadog.ci-pipeline-visibility,"Annual billing is offered at $8 per committer per month, while monthly billing is $12 per committer. This represents a 33.33% discount for annual billing. A free trial is also offered."
datadog.application-security-management,"Annual billing is offered. The monthly price is $36, but if billed annually, the price is $31, which is about a 14% discount. Multi-year and volume discounts are also mentioned on the page."
datadog.code-security-iast,Annual billing is offered at a discounted rate. Multi-year and volume discounts are also available.
datadog.app-builder,Multi-year and volume discounts are available. Custom pricing is offered to meet specific needs; contact a Customer Success Manager for details.
datadog.database-monitoring,Annual billing is offered at a discounted rate compared to on-demand monthly billing. Multi-year/volume discounts are also mentioned on the page.
datadog.data-jobs-monitoring,Annual billing is offered at a discounted rate. Multi-year and volume discounts are also available.
cloudflare.network.services,"The products Magic Transit, Magic WAN, and Magic Firewall are all billed annually."
datadog.cloud-security-management,Annual billing offers a discount compared to on-demand billing. Volume discounts are available for 500+ hosts/month.
datadog.llm-observability,Multi-year and volume discounts are available. Contact them for details.
datadog.real-user-monitoring-session-replay,Annual billing offers a discount compared to on-demand billing. Multi-year/volume discounts are also available.
hashicorp.consul,"The pricing page shows a custom 'Enterprise' plan, which requires contacting sales. It's possible that custom discounts are offered through sales, but no specific discount types are mentioned on the page."
hashicorp.packer,The pricing page offers a free tier called HCP Free. There are no other discounts mentioned.
datadog.network-monitoring,"Multi-year and volume discounts are available. Paying annually for Cloud Network Monitoring provides a discount, reducing the price from $7.20 to $5 per host per month."
datadog.universal-service-monitoring,"Annual, multi-year, and volume discounts are available. USM is $9/host/month when billed annually, compared to $13 on-demand. Contact sales for multi-year and volume discounts."
dialpad.meetings,"Dialpad offers a discount for annual billing on the Business plan. Paying annually reduces the price from $20/month to $15/month, a 25% savings."
dialpad.support,Annual billing offers a discount compared to monthly billing. Essentials plan is $80/month (billed annually) vs $95/month (billed monthly). Advanced plan is $115/month (billed annually) vs $135/month (billed monthly). Premium plan is $150/month (billed annually) vs $170/month (billed monthly).
datadog.synthetic-testing-monitoring,"Annual billing is offered for API, Browser, Mobile App, and Continuous Testing, resulting in savings compared to on-demand monthly billing. Multi-year/volume discounts are also mentioned on the pricing page."
datadog.serverless-monitoring,"Annual billing offers discounted rates compared to on-demand pricing. Multi-year and volume discounts are also available, as indicated on the pricing page."
heap,"No discounts are explicitly mentioned on the pricing page. The pricing page shows four plans: Free, Growth, Pro, and Premier. There is no mention of annual, introductory, volume, or multi-product discounts."
hashicorp.vault,"The pricing page offers a free tier for HCP Vault Secrets, allowing users to manage up to 25 secrets at no cost. There is also a Pay-As-You-Go (PAYG) option."
honeybook,"Annual billing offers a discount. Starter plan saves 44.83%, Essentials saves 34.69%, and Premium saves 39.45% when billed annually. All plans have a 7-day free trial."
hiverhq,Hiver offers a 20% discount on annual subscriptions.
hashtagpaid,"The pricing page shows monthly prices for different plans: Just Content ($499/month), Grow ($699/month), and Advanced ($999/month). There is no mention of any discount types."
hive,"Annual discount of 33% is offered. Discounts for non-profits may be available, as indicated in the FAQ."
docusign,"Annual billing is offered, but there is no discount for any of the plans. The 'Save up to 44%' refers to enhanced plans, not the listed plans."
hubspot.cms.starter,HubSpot Content Hub offers a free tools plan. There is also a 14-day free trial for the Professional plan.
helcim,Helcim offers volume discounts for processing large numbers of transactions. The Smart Terminal is offered at $30/mo for 12 months or $329.
docker,Annual billing offers discounts compared to monthly billing. Pro plan is $9/month or $11/month if billed monthly. Team plan is $15/month or $18/month if billed monthly. Business plan is $24/month or $30/month if billed monthly.
datadog.audit-trail,Annual billing offers a discount compared to on-demand billing. Multi-year and volume discounts are also available.
datadog.cloud-cost-management,Annual billing offers a discount compared to on-demand billing. Multi-year/volume discounts are also mentioned on the pricing page.
hootsuite,Save up to 20% with annual billing. A free 30-day trial is offered. Nonprofit discounts are available on Professional or Team plans.
datadog.cloud-siem,Multi-year/volume discounts are available. Cloud SIEM is billed annually or on-demand. Annual billing provides a discount compared to on-demand billing.
dnsfilter,Annual billing offers savings compared to monthly billing. Free trials are available for Basic and Pro plans. Education and non-profit pricing may be available upon request.
hubspot,"HubSpot offers an annual billing discount for the Starter plan. Paying annually reduces the price from $240 to $200, a 16.67% discount."
hostgator,Introductory offer: Hosting plans start at $3.75/mo for the first term. Free domain registration for the first year is included with some plans.
datadog.continuous-testing,"Annual billing is offered for API, Browser, Mobile App, and Continuous Testing, providing cost savings compared to on-demand monthly billing. Multi-year/volume discounts are also available; contact the company for details."
datadog.application-performance-monitoring,"Annual billing offers a discount compared to monthly billing. Volume discounts are available, as indicated by the text ""Multi-Year/Volume discounts available""."
hotjar,Annual discount of 33.33% is offered across all plans.
datadog.test-optimization,"Annual billing is offered at $20 per committer per month, compared to $29 for on-demand monthly billing. Multi-year/volume discounts are mentioned at the top of the page."
datadog.software-composition-analysis,Annual billing is offered at a discounted rate. Multi-year and volume discounts are also available.
datadog.workflow-automation,"Annual billing is offered at $10/month, compared to the on-demand monthly price of $14. Multi-year and volume discounts are available; contact sales for details."
datadog.sensitive-data-scanner,Annual billing offers a discount compared to on-demand billing. Multi-year and volume discounts are also available.
datadog.data-streams-monitoring,"Multi-year and volume discounts are available. There is an annual discount for Data Streams Monitoring, billed at $15/host/month annually vs $18 on-demand."
datadog.incident-management,Annual billing is offered at a discounted rate. Multi-year/volume discounts may be available.
datadog.error-tracking,"Multi-year and volume discounts are available. Error Tracking is included for APM traces and RUM events at no additional cost. Billed annually at $0.36 on-demand, compared to $0.25 monthly."
dialpad.sales,"Annual billing offers a discount compared to monthly billing. Essentials plan saves $10/month (20.4%), Advanced saves $15/month (13.6%), and Premium saves $20/month (11.8%) when billed annually."
datadog.observability-pipelines,Multi-year/volume discounts are available. There is a discount for annual billing. Contact them for details on multi-year and volume discounts.
datadog.log-management,Multi-year/volume discounts are available. Billed annually options are available for Ingest and Standard Indexing.
dealhub,The pricing page does not explicitly mention any discounts. It does mention add-ons for each plan.
docusign.api,Annual billing offers savings up to 44% compared to monthly billing.
doximity,Discounts for bulk purchases are available for the Dialer Pro plan.
dbt-labs,dbt Cloud offers a free 'Developer' plan. The 'Team' plan includes a 14-day free trial.
dataiku,Dataiku offers a Free Edition and a Free Trial for 14 days. Paid Editions are available with tailored offerings.
databricks,"Databricks offers discounts through Committed Use Contracts. The larger the usage commitment, the greater the benefits. Promotional discounts may also be available for specific Databricks Services, identified on the Price List or communicated to eligible customers."
cribl,Cribl offers a 'Free' plan with limited features (up to 1TB/day). There is also a Stream ROI calculator to estimate potential savings.
crowdbotics,No discounts are explicitly mentioned on the pricing page. There is a free 'Community' plan.
datadog,Multi-year/volume discounts are available for 500+ hosts/month. Custom metrics are as low as $1 per 100.
deskera,"Deskera offers discounts for annual billing. The Growth plan is $199/month billed annually, and the Mid Market plan is $249/month billed annually."
courier,"The 'Developer' plan is free for up to 10,000 notifications per month. The 'Enterprise' plan offers custom volume pricing."
dosu,"No discounts are explicitly mentioned on the pricing page. There is a Community plan and an Enterprise plan, but no discounts are offered."
deepgram,Annual discount of up to 25% is offered on the Growth plan. A free 'Pay As You Go' plan is available with $200 of credit.
deepl,DeepL Pro offers a 16% discount for annual billing. They also offer a 30-day free trial for Starter and Advanced plans.
dialpad,Dialpad offers an annual discount. The Standard plan has a 44% discount and the Pro plan has a 28% discount when billed annually. Dialpad also offers a 14-day free trial.
deputy,"Deputy offers a free 'Starter' plan. They also provide special pricing options to Charitable Groups, Community Organizations, and Not-For-Profits. "
deepbrain,20% discount for yearly billing.
dovetail,Annual billing offers a discount on the Professional plan.
dashlane,"Dashlane offers discounts for annual billing on all plans. There is also a limited-time offer for 35% off the Business Plus plan. Volume discounts apply to the Business Plus plan, with pricing starting at $5/user for 100+ employees."
deel,"Deel offers annual discounts on the Deel EOR plan, indicated by a 'Save $$$' badge when choosing to pay yearly."
dremio,"The pricing page shows the cost for Dremio Cloud Enterprise Edition at $0.39 per DCU. For Dremio Software Enterprise Edition, users need to contact sales for pricing. There is a 'Start for Free' button, but it is not clear if this is a free trial or an introductory discount."
duo,The pricing page offers a free plan for 1-10 users and a free trial. No other discounts are mentioned.
expressvpn,"ExpressVPN offers discounts for longer subscription periods. The 1-year plan has a 70% discount, and the 2-year plan has an 82% discount. There is also a limited-time offer for 6 free extra months."
fingercheck,The pricing is structured per month and per employee. There are no discounts mentioned on the pricing page.
edenai,"The 'Premium' plan is listed as an 'Annual plan / Request pricing', implying an annual discount is available if you contact sales."
dynatrace,"The pricing page offers a free trial for its services. There is mention of discounts for larger Dynatrace Platform Subscriptions, implying volume discounts may be available."
drift,No discounts are explicitly mentioned on the pricing page. Users are encouraged to request a demo or contact Salesloft for pricing questions.
dreamhost,"Annual discounts are available, with savings of 63% on the 'Shared' plan and 64% on the 'VPS' plan. The DreamPress plan has an introductory discount of 27% off the first year, after which the price increases."
figma,Annual billing offers a discount compared to monthly billing.  The Professional plan is $15/month or $180 annually. The Organization plan is $45/month or $540 annually. The Enterprise plan is $75/month or $900 annually.
dropbox,"Dropbox offers discounts for annual billing. There is also a 'Try for free' option for some plans, which is an introductory offer."
exa,Exa offers $10 in free credits to get started. They also provide discounts for startups and education.
embluemail,emBlue offers a 20% discount for annual billing. They also offer a free trial for their Starter and Advance plans.
evoto,10% discount on annual subscription plans compared to Pay-as-You-Go.
expensify,Expensify offers a 50% discount for annual subscriptions. They also offer a 50% discount for using the Expensify card.
engati,Engati offers a 7-day free trial with no credit card required and zero setup cost.
fastly,"Fastly offers a free tier with $50/mo worth of CDN traffic. They also offer a free trial for Network Services delivery with $50 worth of traffic and 2 free TLS certificates, and a 30-day free trial for Image Optimizer."
everlance,Annual billing is offered on the FAVR and CPM programs. The CPM program offers a 16.67% discount for annual billing. Multi-year discounts and volume discounts may be available.
evernote,"Annual billing offers a discount compared to monthly billing. There is also a free plan. A student discount may be available, as indicated in the FAQ."
employment-hero,"The 'Unlimited' plan includes 'Learning Bundle', 'HR Advisory', and 'Employee Assistance Program (EAP)' add-ons."
elementor,"Annual discounts are offered on all plans. Lite plan has 70% off, Basic has 31% off, Business has 30% off, and Grow has 39% off."
firehydrant,A free trial is offered for the Trial Account and Platform Pro plans. The Enterprise plan offers volume discounting.
five9,"The Digital and Core plans are priced at $119/month. For Premium, Optimum, and Ultimate plans, users need to contact sales for flexible pricing. Volume and customized pricing may be available as the pricing is flexible and depends on the customer's needs. "
ecwid,"Ecwid offers a 16% discount for annual billing on all paid plans (Venture, Business, and Unlimited)."
finix,"The pricing page shows different pricing tiers (Flat Rate, Dynamic, and Custom) with varying fees for different features. There are no explicit discounts mentioned."
fingerprint,Annual billing discounts are mentioned in the FAQ section. Contact sales for custom Enterprise plan pricing.
fireblocks,Fireblocks offers a 25% discount for annual billing on the Starter plan.
flatfile,Volume discounts are available for Professional and Enterprise plans based on the number of files/month or PDV/month. The Starter plan is free with limited usage.
fivetran,"Fivetran offers discounts for annual contracts, as stated at the top of the pricing page. They also offer discounts for Enterprise License Agreements (ELAs), non-profits, and startups, as indicated in the FAQ section."
fiixsoftware,Annual billing discounts are available on the Basic and Professional plans. Paying annually provides a 25% discount compared to monthly billing.
fiddler,No discounts are explicitly mentioned on the pricing page.
fixify,The pricing is based on the number of employees in the organization. The 'Ticket snapshot' is free. The 'Full service' plan is priced at $0/month.
hashicorp.nomad,"The pricing page does not explicitly mention any discounts. It offers a 'Community' and an 'Enterprise' version, with the latter including support and additional features. To get pricing details, users are prompted to contact sales."
formstack,Annual billing discount: Save 2 months with annual billing on both the Forms and Suite plans.
fleetio,The pricing page does not explicitly mention any discounts. There is a 14-day free trial.
format,"Limited time offer: Save up to 50% on annual plans. 50% off Pro Plus (code PROPLUSANNUAL), 38% off Pro (code PROANNUAL), and 20% off Basic (code BASICANNUAL). Free trial available."
float,Annual discount of 20% is offered. The FAQ section indicates that volume discounts and discounts for non-profits may be available.
elastic,"Elastic offers a free trial for all its plans: Standard, Gold, Platinum and Enterprise."
frontegg,The pricing page mentions special plans for startups (100% free for the first groundbreaking year) and special offers for migrations. No other discounts are mentioned.
freshworks,Freshdesk offers a free plan for up to 2 agents. All paid plans are billed annually. They also offer a bundle discount for the 'Pro + AI Copilot' plan.
freshbooks,70% off for 4 months on all plans.
hashicorp.terraform,The Standard plan offers the first 500 resources per month for free.
hubspot.cms.enterprise,Annual discount is offered for Content Hub Professional. There is also a 14-day free trial.
mailchimp.commerce,Mailchimp offers a 'Free' plan for businesses needing a basic website. There are no other discounts mentioned on the pricing page.
hubspot.operations.enterprise,HubSpot Operations Hub offers a free 14-day trial for both the Professional and Enterprise plans.
hubspot.marketing.enterprise,"The pricing page does not explicitly mention any discount types such as annual billing discounts, introductory offers, volume discounts, or multi-product discounts."
hubspot.sales.enterprise,"Annual billing offers a discount. For the Starter plan, there is an additional 30% off."
gusto,"Gusto offers a 25% discount on all plans (Simple, Plus, and Premium) when billed annually."
hubspot.suite.enterprise,"HubSpot offers discounts for annual billing. The Professional plan is discounted from $1,400/month to $1,170/month when billed annually. The Enterprise plan is discounted from $5,400/month to $4,500/month when billed annually."
hubspot.service.enterprise,The pricing page shows the monthly cost per seat for 'Service Hub Professional' and 'Service Hub Enterprise'. There is a mention of 'Tailored Onboarding' which may include discounted onboarding fees.
manatal,The pricing page shows monthly plans only. There are no discounts mentioned.
getshogun,
github,
givingfuel,
gitguardian,GitGuardian offers a free 'Starter' plan for individuals. There are no other discounts mentioned on the pricing page.
getdbt,dbt Cloud offers a free 'Developer' plan. The 'Team' plan includes a 14-day free trial.
getaccept,Volume discount: The 'Professional' plan requires a minimum of 5 users.
gitpod,The Flex plan is available for free in early access until early 2025.
getresponse,GetResponse offers an 18% discount for annual billing. They also offer a 50% discount for charities and NGOs. A 30-day free trial is available.
getcanopy,Annual contract for Client Engagement Platform is available at $150/month. Demo Canopy offers a $75 Amazon gift card for your time.
fullstory,Fullstory offers a free plan with limited features. They also offer a free trial of the Business plan for 2 weeks.
hackthebox,"Hack The Box offers a 14-day free trial for the Lite plan. There are no explicit discounts mentioned for annual billing, volume purchases, or multi-product bundles on the pricing page."
mendix,Mendix offers a free plan for one app. There are no other discounts mentioned on the pricing page.
gocardless,Volume discounts are available for the custom plan. Contact sales for details.
mention,"Annual billing offers a discount equivalent to 2 months free. Savings are $96, $192, and $360 for the Solo, Pro, and Pro Plus plans, respectively, when billed yearly."
grammarly,"Grammarly offers a discount for annual billing on the Pro plan. They may also offer discounts for educational institutions, as indicated in the FAQ."
harness,The pricing page offers a 'Free' plan with limited features and a 'Open Source' plan at no cost.
hashicorp.boundary,"The pricing page offers a 'Flex Multiyear' option, suggesting potential discounts for longer-term commitments. Contact sales for details. Enterprise Self-Managed plans also offer custom pricing."
goto,GoTo Meeting offers discounts for annual billing. The Professional plan saves 14% and the Business plan saves 16% when billed annually. Volume discounts may also be available.
groq,"Groq offers a 25% discount for Dev Tier customers using the Batch API. The pricing also shows the approximate number of tokens per dollar, which can be interpreted as a volume discount, where purchasing more tokens results in a lower price per token."
grafana,"Grafana Cloud offers a free forever tier. They also provide discounts for higher usage volumes, but details are not specified."
mem0,"The pricing page offers a 'Free' plan, which can be considered a type of discount for basic usage. There are no explicit discounts mentioned for annual billing, volume purchases, or multi-product bundles."
gumroad,Gumroad offers a lower transaction fee of 10% + $0.50 for sales through your profile or direct links. A higher 30% transaction fee applies when new customers find and buy from you through their discover marketplace.
mailgun,"Mailgun offers a free trial for the Foundation and Scale plans. Volume discounts are available for extra emails and validations, with prices decreasing as the volume increases."
melio,Melio offers free ACH bank transfers with no subscription fees. First 2 checks each month through Melio are free.
mapbox,Volume discounts are offered as usage grows. Save when you commit to annual commitments.
mattermost,The Professional plan offers a discount when billed annually.
hubspot.sales.starter,Annual discount of 20% is offered for the Starter plan if you choose annual billing instead of monthly.
